"","controller","condition","item","rt","NA","subject","group"
"2849","DashedSentence",-0.5,2,2620,"FALSE","Native 13",-0.5
"2861","DashedSentence",0.5,3,5247,"FALSE","Native 13",-0.5
"2877","DashedSentence",-0.5,12,3548,"FALSE","Native 13",-0.5
"2885","DashedSentence",-0.5,10,2794,"FALSE","Native 13",-0.5
"2901","DashedSentence",0.5,9,3710,"FALSE","Native 13",-0.5
"2909","DashedSentence",-0.5,8,3155,"FALSE","Native 13",-0.5
"2923","DashedSentence",-0.5,5,13092,"FALSE","Native 14",-0.5
"2947","DashedSentence",0.5,12,11779,"FALSE","Native 14",-0.5
"2999","DashedSentence",0.5,10,14571,"FALSE","Native 14",-0.5
"3035","DashedSentence",-0.5,11,8131,"FALSE","Native 14",-0.5
"3051","DashedSentence",0.5,2,5835,"FALSE","Native 14",-0.5
"3067","DashedSentence",-0.5,9,7650,"FALSE","Native 14",-0.5
"3071","DashedSentence",-0.5,3,4873,"FALSE","Native 14",-0.5
"3083","DashedSentence",0.5,4,7678,"FALSE","Native 14",-0.5
"3103","DashedSentence",-0.5,7,14206,"FALSE","Native 14",-0.5
"3107","DashedSentence",-0.5,1,5537,"FALSE","Native 14",-0.5
"3119","DashedSentence",0.5,8,9660,"FALSE","Native 14",-0.5
"3135","DashedSentence",0.5,6,6150,"FALSE","Native 14",-0.5
"3149","DashedSentence",0.5,3,9271,"FALSE","Native 15",-0.5
"3153","DashedSentence",-0.5,10,8579,"FALSE","Native 15",-0.5
"3189","DashedSentence",0.5,7,10330,"FALSE","Native 15",-0.5
"3197","DashedSentence",-0.5,4,7659,"FALSE","Native 15",-0.5
"3213","DashedSentence",0.5,9,8661,"FALSE","Native 15",-0.5
"3237","DashedSentence",-0.5,8,4564,"FALSE","Native 15",-0.5
"3273","DashedSentence",0.5,11,5635,"FALSE","Native 15",-0.5
"3297","DashedSentence",0.5,1,5243,"FALSE","Native 15",-0.5
"3301","DashedSentence",-0.5,12,7230,"FALSE","Native 15",-0.5
"3305","DashedSentence",-0.5,2,3859,"FALSE","Native 15",-0.5
"3317","DashedSentence",-0.5,6,4164,"FALSE","Native 15",-0.5
"3329","DashedSentence",0.5,5,3120,"FALSE","Native 15",-0.5
"3381","DashedSentence",0.5,2,14664,"FALSE","Native 16",-0.5
"3397","DashedSentence",0.5,10,8704,"FALSE","Native 16",-0.5
"3401","DashedSentence",0.5,6,7201,"FALSE","Native 16",-0.5
"3409","DashedSentence",-0.5,3,13442,"FALSE","Native 16",-0.5
"3425","DashedSentence",0.5,4,6179,"FALSE","Native 16",-0.5
"3461","DashedSentence",-0.5,11,7098,"FALSE","Native 16",-0.5
"3501","DashedSentence",-0.5,7,10875,"FALSE","Native 16",-0.5
"3505","DashedSentence",-0.5,9,4869,"FALSE","Native 16",-0.5
"3509","DashedSentence",0.5,8,7093,"FALSE","Native 16",-0.5
"3529","DashedSentence",-0.5,5,7042,"FALSE","Native 16",-0.5
"3537","DashedSentence",0.5,12,6130,"FALSE","Native 16",-0.5
"3581","DashedSentence",-0.5,1,5747,"FALSE","Native 16",-0.5
"3615","DashedSentence",-0.5,10,9322,"FALSE","Native 17",-0.5
"3619","DashedSentence",-0.5,4,7246,"FALSE","Native 17",-0.5
"3631","DashedSentence",0.5,5,7690,"FALSE","Native 17",-0.5
"3639","DashedSentence",0.5,9,15089,"FALSE","Native 17",-0.5
