"","controller","condition","item","rt","NA","subject","group"
"1139","DashedSentence",-0.5,"10",1960,"FALSE","Native 6","Native"
"1143","DashedSentence",-0.5,"22",1830,"FALSE","Native 6","Native"
"1147","DashedSentence",-0.5,"5",1751,"FALSE","Native 6","Native"
"1155","DashedSentence",-0.5,"16",1956,"FALSE","Native 6","Native"
"1167","DashedSentence",-0.5,"7",1141,"FALSE","Native 6","Native"
"1171","DashedSentence",-0.5,"3",1667,"FALSE","Native 6","Native"
"1179","DashedSentence",-0.5,"24",1310,"FALSE","Native 6","Native"
"1191","DashedSentence",-0.5,"15",1909,"FALSE","Native 6","Native"
"1207","DashedSentence",-0.5,"18",1425,"FALSE","Native 6","Native"
"1215","DashedSentence",-0.5,"23",1568,"FALSE","Native 6","Native"
"1227","DashedSentence",-0.5,"2",1387,"FALSE","Native 6","Native"
"1239","DashedSentence",-0.5,"13",1808,"FALSE","Native 6","Native"
"1247","DashedSentence",-0.5,"14",1740,"FALSE","Native 6","Native"
"1259","DashedSentence",-0.5,"4",1589,"FALSE","Native 6","Native"
"1263","DashedSentence",-0.5,"11",2461,"FALSE","Native 6","Native"
"1271","DashedSentence",-0.5,"19",954,"FALSE","Native 6","Native"
"1275","DashedSentence",-0.5,"1",1983,"FALSE","Native 6","Native"
"1287","DashedSentence",-0.5,"6",2334,"FALSE","Native 6","Native"
"1291","DashedSentence",-0.5,"9",2178,"FALSE","Native 6","Native"
"1303","DashedSentence",-0.5,"20",1857,"FALSE","Native 6","Native"
"1315","DashedSentence",-0.5,"8",1357,"FALSE","Native 6","Native"
"1323","DashedSentence",-0.5,"21",2211,"FALSE","Native 6","Native"
"1335","DashedSentence",-0.5,"12",1746,"FALSE","Native 6","Native"
"1343","DashedSentence",-0.5,"17",1389,"FALSE","Native 6","Native"
"1353","DashedSentence",-0.5,"3",2906,"FALSE","Native 7","Native"
"1369","DashedSentence",-0.5,"23",3124,"FALSE","Native 7","Native"
"1373","DashedSentence",-0.5,"21",2703,"FALSE","Native 7","Native"
"1377","DashedSentence",-0.5,"7",4971,"FALSE","Native 7","Native"
"1381","DashedSentence",-0.5,"8",4083,"FALSE","Native 7","Native"
"1385","DashedSentence",-0.5,"20",2125,"FALSE","Native 7","Native"
"1393","DashedSentence",-0.5,"6",1480,"FALSE","Native 7","Native"
"1405","DashedSentence",-0.5,"17",3697,"FALSE","Native 7","Native"
"1433","DashedSentence",-0.5,"4",1779,"FALSE","Native 7","Native"
"1441","DashedSentence",-0.5,"5",3551,"FALSE","Native 7","Native"
"1449","DashedSentence",-0.5,"19",4195,"FALSE","Native 7","Native"
"1457","DashedSentence",-0.5,"1",2525,"FALSE","Native 7","Native"
"1461","DashedSentence",-0.5,"12",2845,"FALSE","Native 7","Native"
"1469","DashedSentence",-0.5,"13",4867,"FALSE","Native 7","Native"
"1473","DashedSentence",-0.5,"14",1988,"FALSE","Native 7","Native"
"1477","DashedSentence",-0.5,"9",4688,"FALSE","Native 7","Native"
"1485","DashedSentence",-0.5,"22",2087,"FALSE","Native 7","Native"
"1493","DashedSentence",-0.5,"11",3330,"FALSE","Native 7","Native"
"1505","DashedSentence",-0.5,"24",2253,"FALSE","Native 7","Native"
"1513","DashedSentence",-0.5,"15",2455,"FALSE","Native 7","Native"
"1525","DashedSentence",-0.5,"2",1653,"FALSE","Native 7","Native"
"1537","DashedSentence",-0.5,"10",1569,"FALSE","Native 7","Native"
"1541","DashedSentence",-0.5,"16",2332,"FALSE","Native 7","Native"
"1565","DashedSentence",-0.5,"18",5065,"FALSE","Native 7","Native"
"1577","DashedSentence",-0.5,"9",6168,"FALSE","Native 8","Native"
"1593","DashedSentence",-0.5,"18",8228,"FALSE","Native 8","Native"
"1625","DashedSentence",-0.5,"16",5439,"FALSE","Native 8","Native"
"1629","DashedSentence",-0.5,"24",7220,"FALSE","Native 8","Native"
"1633","DashedSentence",-0.5,"12",6143,"FALSE","Native 8","Native"
"1637","DashedSentence",-0.5,"19",4851,"FALSE","Native 8","Native"
"1641","DashedSentence",-0.5,"4",3792,"FALSE","Native 8","Native"
"1645","DashedSentence",-0.5,"14",9080,"FALSE","Native 8","Native"
"1661","DashedSentence",-0.5,"10",4211,"FALSE","Native 8","Native"
